ASIN,Title,Authors,PurchaseDate
"B010CQD4Y0","10年戦えるデータ分析入門　SQLを武器にデータ活用時代を生き抜く (Informatics ＆IDEA)","青木 峰郎","2019/2/28"
"B07T8YCMMF","60分でわかる！ プログラミング教育 最前線 60分でわかる！IT知識","プログラミング教育研究会","2020/8/1"
"B07LG7TG5N","FACTFULNESS（ファクトフルネス）10の思い込みを乗り越え、データを基に世界を正しく見る習慣","ハンス・ロスリング","2019/1/25"
"B082SN87QP","Jetson Nano 超入門","からあげ","2020/12/8"
"B08JY77MB9","Jetson NanoではじめるエッジAI入門","坂本俊之","2020/11/29"
"B07YTDBC3Z","Kaggleで勝つデータ分析の技術","門脇 大輔","2019/11/5"
"B085SZLB2Q","Learn or Die 死ぬ気で学べ　プリファードネットワークスの挑戦","西川 徹","2020/4/21"
"B0785Q7GSY","Python Tricks: A Buffet of Awesome Python Features (English Edition)","Bader, Dan","2020/4/22"
"B07ZVFZ9HG","PythonではじめるiOSプログラミング","掌田 津耶乃","2020/8/13"
"B08F9P726T","Pythonで儲かるAIをつくる","赤石 雅典","2020/10/12"
"B07YMXLFP5","Pythonで学ぶネットワーク分析 ColaboratoryとNetworkXを使った実践入門","村田剛志","2019/10/19"
"B07VRZRR1G","Pythonと実データで遊んで学ぶ データ分析講座","梅津雄一","2019/9/2"
"B078MN6DX8","Pythonによるテキストマイニング入門","山内長承","2019/10/19"
"B07NZP6V29","Pythonデータ分析／機械学習のための基本コーディング！ pandasライブラリ活用入門 impress top gearシリーズ","Daniel Y. Chen","2020/1/21"
"B0891X9NLW","Pythonハッカーガイドブック (Compass Booksシリーズ)","Julien Danjou","2020/8/6"
"B075F3CHZ4","PythonユーザのためのJupyter［実践］入門","池内 孝啓","2019/7/23"
"B07ZSGSN9S","Python実践データ分析100本ノック","下山輝昌","2019/11/5"
"B01LX5VY8B","Raspberry Piではじめるどきどきプログラミング 増補改訂第２版","阿部 和広","2020/5/29"
"B07PYGPW3V","RとPythonで学ぶ［実践的］データサイエンス＆機械学習","有賀 友紀","2020/8/7"
"B07WZLC43L","SQM思考 ソフトバンクで孫社長に学んだ「脱製造業」時代のビジネス必勝法則","三木 雄信","2019/11/23"
"B00BANJ84A","[新装版] 企業参謀 戦略的思考とは何か","大前 研一","2020/7/9"
"B07FMSFT6R","amazon　世界最先端、最高の戦略","成毛 眞","2018/9/29"
"B08NNB6NCB","iPadクリエイティブ","amity_sensei","2020/12/2"
"B06X6GJYWF","「原因と結果」の経済学―――データから真実を見抜く思考法","中室 牧子","2019/11/30"
"B07647RLKQ","「管理会計の基本」がすべてわかる本 第2版","金子智朗","2020/10/3"
"B07KG5538D","「超」入門 空気の研究――日本人の思考と行動を支配する27の見えない圧力","鈴木 博毅","2019/9/16"
"B087X2GJ5H","お金の真理","与沢翼","2020/8/1"
"B07DCLSV6H","このまま今の会社にいていいのか？と一度でも思ったら読む 転職の思考法","北野 唯我","2018/11/12"
"B07J5674T6","この世界が消えたあとの　科学文明のつくりかた (河出文庫)","ルイス・ダートネル","2019/11/9"
"B07VPDVNKW","つくりながら学ぶ！PyTorchによる発展ディープラーニング","小川 雄太郎","2020/5/20"
"B07DZVRXFK","つくりながら学ぶ！深層強化学習 PyTorchによる実践プログラミング","株式会社電通国際情報サービス 小川雄太郎","2020/5/29"
"B07TNDGL75","ど素人でもわかる経営学の本","中川 功一","2020/9/19"
"B0843VG8C2","なぜ、いま学校でプログラミングを学ぶのか－はじまる「プログラミング教育」必修化","平井 聡一郎","2020/3/31"
"B00MRRF3K6","なぜ人と組織は変われないのか ― ハーバード流 自己変革の理論と実践","ロバート・キーガン","2020/1/7"
"B0747K7B1J","なぜ弱さを見せあえる組織が強いのか ― すべての人が自己変革に取り組む「発達指向型組織」をつくる","ロバート・キーガン","2020/1/7"
"B08JTXH6JP","なんでもPythonプログラミング　平林万能IT技術研究所の奇妙な実験","平林 純","2020/12/27"
"B01EMWRPSQ","まんがで変わる！　仕事は楽しいかね？ (きこ書房)","デイル・ドーテン","2018/7/17"
"B07T828M64","みんなのブロックチェーン","柴田 淳","2019/12/22"
"B075GSMZDS","やさしく学ぶ 機械学習を理解するための数学のきほん アヤノ＆ミオと一緒に学ぶ 機械学習の理論と数学、実装まで","立石 賢吾（LINE Fukuoka株式会社）","2019/1/26"
"B0732RRCWX","やり抜く人の９つの習慣　コロンビア大学の成功の科学","ハイディ・グラント・ハルバーソン","2019/10/3"
"B0859F4R2S","アイデアふくらむ探検ウォッチ micro:bitでプログラミング：センサーの実験・宝探しゲーム・友だちとの通信……使い方はキミしだい！ (子供の科学★ミライクリエイティブ)","倉本 大資","2020/3/31"
"B08CXB63KG","イラストレーターが名門カレッジ2年間の講義をまとめた The Visual MBA――経営学の要点を学べるスケッチノート","ジェイソン・バロン","2020/8/29"
"B07ZJ5JRV2","インディアンとカジノ　──アメリカの光と影 (ちくま新書)","野口久美子","2019/11/15"
"B00F4PDB3E","インベスターZ(1)","三田紀房","2018/6/3"
"B015FR9YBS","インベスターZ(10)","三田紀房","2018/6/3"
"B00H7OSZYA","インベスターZ(2)","三田紀房","2018/6/3"
"B00IZSDBXM","インベスターZ(3)","三田紀房","2018/6/3"
"B00L41JKRI","インベスターZ(4)","三田紀房","2018/6/3"
"B00NHSUCUK","インベスターZ(5)","三田紀房","2018/6/3"
"B00QWBFV3M","インベスターZ(6)","三田紀房","2018/6/3"
"B00TJMATFQ","インベスターZ(7)","三田紀房","2018/6/3"
"B00UKL9WH6","インベスターZ(8)","三田紀房","2018/6/3"
"B00ZBEV6X0","インベスターZ(9)","三田紀房","2018/6/3"
"B079Z2GX64","エキスパートPythonプログラミング 改訂2版 (アスキードワンゴ)","Michaｌ Jaworski","2020/2/7"
"B079TLW41L","エンジニアリング組織論への招待　～不確実性に向き合う思考と組織のリファクタリング","広木 大地","2020/3/23"
"B07NMH928H","コンピュータにかわいいを学習させたら何が起きたか","遠山 功","2019/10/7"
"B07C23RQ5W","ザ・ファースト・ペンギンス　新しい価値を生む方法論","松波晴人","2019/12/13"
"B084SP5PLQ","シン・ニホン AI×データ時代における日本の再生と人材育成 (NewsPicksパブリッシング)","安宅和人","2020/6/28"
"B00Q6F0UGM","スタディーノではじめるうきうきロボットプログラミング","宇野 泰正；塩野 禎隆","2020/5/29"
"B07L5FP45Y","ゼロからよくわかる！　Arduinoで電子工作入門ガイド","登尾 徳誠","2020/5/18"
"B07YNJSCG8","ソフトウェア・ファースト","及川 卓也","2019/11/26"
"B00N8J1NPQ","チームが機能するとはどういうことか ― 「学習力」と「実行力」を高める実践アプローチ","エイミー・Ｃ・エドモンドソン","2020/1/7"
"B08FLDJMQB","テレワークの「落とし穴」とその対策","小林剛","2020/9/10"
