,ASIN,Title,Authors,PurchaseDate,mo/yr,yr
85,B07Z7RW44S,事例で学ぶ！あたらしいデータサイエンスの教科書,岩崎 学,2020-01-05,1/2020,2020
61,B00N8J1NPQ,チームが機能するとはどういうことか ― 「学習力」と「実行力」を高める実践アプローチ,エイミー・Ｃ・エドモンドソン,2020-01-07,1/2020,2020
34,B0747K7B1J,なぜ弱さを見せあえる組織が強いのか ― すべての人が自己変革に取り組む「発達指向型組織」をつくる,ロバート・キーガン,2020-01-07,1/2020,2020
33,B00MRRF3K6,なぜ人と組織は変われないのか ― ハーバード流 自己変革の理論と実践,ロバート・キーガン,2020-01-07,1/2020,2020
116,B01BOU0C7U,最強経営者の思考法――松下幸之助と孫正義から直接学んだ実践リーダー学,嶋聡,2020-01-14,1/2020,2020
13,B07NZP6V29,Pythonデータ分析／機械学習のための基本コーディング！ pandasライブラリ活用入門 impress top gearシリーズ,Daniel Y. Chen,2020-01-21,1/2020,2020
123,B082DXGBNZ,株の鬼100則,石井 勝利,2020-01-26,1/2020,2020
82,B07L5DGXMC,一人の力で日経平均を動かせる男の投資哲学 (角川書店単行本),cis,2020-01-26,1/2020,2020
91,B0748CWPVS,図解 モチベーション大百科,池田貴将,2020-01-26,1/2020,2020
53,B079Z2GX64,エキスパートPythonプログラミング 改訂2版 (アスキードワンゴ),Michaｌ Jaworski,2020-02-07,2/2020,2020
71,B0834XJQTY,ファイナンス機械学習―金融市場分析を変える機械学習アルゴリズムの理論と実践,マルコス・ロペス・デ・プラド,2020-02-13,2/2020,2020
90,B07WP4YPW8,問題解決ができる！ 武器としてのデータ活用術 高校生・大学生・ビジネスパーソンのためのサバイバルスキル,柏木 吉基,2020-02-21,2/2020,2020
109,B007QS7VRO,慟哭 (創元推理文庫),貫井 徳郎,2020-02-23,2/2020,2020
131,B01MDLGE9O,理科系の作文技術（リフロー版） (中公新書),木下是雄,2020-02-27,2/2020,2020
54,B079TLW41L,エンジニアリング組織論への招待　～不確実性に向き合う思考と組織のリファクタリング,広木 大地,2020-03-23,3/2020,2020
40,B0859F4R2S,アイデアふくらむ探検ウォッチ micro:bitでプログラミング：センサーの実験・宝探しゲーム・友だちとの通信……使い方はキミしだい！ (子供の科学★ミライクリエイティブ),倉本 大資,2020-03-31,3/2020,2020
133,B083PR3WQG,異端のすすめ　強みを武器にする生き方 (SB新書),橋下 徹,2020-03-31,3/2020,2020
32,B0843VG8C2,なぜ、いま学校でプログラミングを学ぶのか－はじまる「プログラミング教育」必修化,平井 聡一郎,2020-03-31,3/2020,2020
6,B085SZLB2Q,Learn or Die 死ぬ気で学べ　プリファードネットワークスの挑戦,西川 徹,2020-04-21,4/2020,2020
100,B00HWLJI3U,実践Vim　思考のスピードで編集しよう！ (アスキー書籍),Ｄｒｅｗ Ｎｅｉｌ,2020-04-21,4/2020,2020
7,B0785Q7GSY,Python Tricks: A Buffet of Awesome Python Features (English Edition),"Bader, Dan",2020-04-22,4/2020,2020
59,B07L5FP45Y,ゼロからよくわかる！　Arduinoで電子工作入門ガイド,登尾 徳誠,2020-05-18,5/2020,2020
78,B00BQ90J14,ボクの電子工作ノート,鈴木 哲哉,2020-05-18,5/2020,2020
77,B00E9LM8LK,ボクのArduino工作ノート,鈴木 哲哉,2020-05-18,5/2020,2020
29,B07VPDVNKW,つくりながら学ぶ！PyTorchによる発展ディープラーニング,小川 雄太郎,2020-05-20,5/2020,2020
103,B014EWXBQ4,小学生からはじめる 考える力が身につく本 -ロジカルシンキング-,山﨑 紅,2020-05-29,5/2020,2020
102,B0113WS5H8,小学生からはじめる 伝える力が身につく本 -プレゼンテーション-,山崎 紅,2020-05-29,5/2020,2020
104,B018FUXHQK,小学生からはじめる　整理整頓が身につく本　-セルフマネジメント-,山崎 紅,2020-05-29,5/2020,2020
106,B00JKISD2A,小学生からはじめるわくわくプログラミング,阿部 和広,2020-05-29,5/2020,2020
17,B01LX5VY8B,Raspberry Piではじめるどきどきプログラミング 増補改訂第２版,阿部 和広,2020-05-29,5/2020,2020
58,B00Q6F0UGM,スタディーノではじめるうきうきロボットプログラミング,宇野 泰正；塩野 禎隆,2020-05-29,5/2020,2020
30,B07DZVRXFK,つくりながら学ぶ！深層強化学習 PyTorchによる実践プログラミング,株式会社電通国際情報サービス 小川雄太郎,2020-05-29,5/2020,2020
105,B075XG349S,小学生からはじめるわいわいタブレットプログラミング,阿部 和広,2020-05-29,5/2020,2020
107,B07W5BC4SB,小学生からはじめるわくわくプログラミング2 Scratch 3.0版,阿部 和広,2020-05-29,5/2020,2020
83,B0824F9XXW,世界「倒産」図鑑　波乱万丈25社でわかる失敗の理由,荒木 博行,2020-06-16,6/2020,2020
57,B084SP5PLQ,シン・ニホン AI×データ時代における日本の再生と人材育成 (NewsPicksパブリッシング),安宅和人,2020-06-28,6/2020,2020
20,B00BANJ84A,[新装版] 企業参謀 戦略的思考とは何か,大前 研一,2020-07-09,7/2020,2020
84,B081PYCZKP,世界標準の経営理論,入山 章栄,2020-07-12,7/2020,2020
63,B0897SS2JP,データ分析のための数理モデル入門　本質をとらえた分析のために,江崎貴裕,2020-07-17,7/2020,2020
101,B088R992TJ,実践Ｄａｔａ　Ｓｃｉｅｎｃｅシリーズ　ＰｙｔｈｏｎではじめるＫａｇｇｌｅスタートブック (ＫＳ情報科学専門書),石原祥太郎,2020-07-25,7/2020,2020
128,B08BL3BQGR,武器としての図で考える習慣―「抽象化思考」のレッスン,平井 孝志,2020-07-28,7/2020,2020
118,B07ZD2TFTF,最適化手法入門 (データサイエンス入門シリーズ),寒野善博,2020-07-28,7/2020,2020
1,B07T8YCMMF,60分でわかる！ プログラミング教育 最前線 60分でわかる！IT知識,プログラミング教育研究会,2020-08-01,8/2020,2020
26,B087X2GJ5H,お金の真理,与沢翼,2020-08-01,8/2020,2020
137,B0816FRF2L,知識を操る超読書術,メンタリストDaiGo,2020-08-01,8/2020,2020
96,B085KSVY2W,大前研一 2020年の世界－「分断」から「連帯」へ－　大前研一ビジネスジャーナル特別号 (大前研一books（NextPublishing）),good.book編集部,2020-08-01,8/2020,2020
94,B08147GCLS,図解即戦力　Amazon Web Servicesのしくみと技術がこれ1冊でしっかりわかる教科書,小笠原 種高,2020-08-01,8/2020,2020
139,B087C5PLYB,管理職失格 新世代リーダーへの条件 (日本経済新聞出版),木村尚敬,2020-08-01,8/2020,2020
73,B087Q2P56J,プログラマーのためのVisual Studio Codeの教科書 (Compass Booksシリーズ),川崎 庸市,2020-08-06,8/2020,2020
14,B0891X9NLW,Pythonハッカーガイドブック (Compass Booksシリーズ),Julien Danjou,2020-08-06,8/2020,2020
67,B086YQWP8Z,データ活用のための数理モデリング入門,水上 ひろき,2020-08-07,8/2020,2020
18,B07PYGPW3V,RとPythonで学ぶ［実践的］データサイエンス＆機械学習,有賀 友紀,2020-08-07,8/2020,2020
142,B01IGW5MR4,見えないものをさぐる―それがベイズ ツールによる実践ベイズ統計,藤田一弥,2020-08-07,8/2020,2020
8,B07ZVFZ9HG,PythonではじめるiOSプログラミング,掌田 津耶乃,2020-08-13,8/2020,2020
65,B08BL9JQ1B,データ分析者のためのPythonデータビジュアライゼーション入門 コードと連動してわかる可視化手法,小久保 奈都弥,2020-08-17,8/2020,2020
41,B08CXB63KG,イラストレーターが名門カレッジ2年間の講義をまとめた The Visual MBA――経営学の要点を学べるスケッチノート,ジェイソン・バロン,2020-08-29,8/2020,2020
68,B08BHZ4HT3,データ視覚化のデザイン,永田 ゆかり,2020-09-01,9/2020,2020
124,B008R54O70,楽天大学学長が教える「ビジネス頭」の磨き方,仲山 進也,2020-09-03,9/2020,2020
129,B07D3KS4CH,武器になる哲学　人生を生き抜くための哲学・思想のキーコンセプト50,山口 周,2020-09-09,9/2020,2020
62,B08FLDJMQB,テレワークの「落とし穴」とその対策,小林剛,2020-09-10,9/2020,2020
